model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,4.189894676208496,0.00796055793762207,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.0,4.610632419586182,0.6877894736842105,0.2599640871132019
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,8.285016536712646,0.02148604393005371,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.0,4.473546028137207,0.7806315789473685,0.16898374347844705
TabPFN Classifier (v2.5 default),50,500,9500,4,0.14177823066711426,3.001014232635498,1,1,0,0,,,0.13024663860980298,0.8182105263157895,0.13047373098240792
TabPFN Classifier (v2 compatibility),50,500,9500,4,0.13223505020141602,2.6219706535339355,1,1,0,0,,,0.18222532815510106,0.8243157894736842,0.12387198949196553
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,6.261302709579468,0.009578704833984375,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.484313011169434,0.7634736842105263,0.1938928400123253
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,4.255107879638672,0.012033700942993164,16,16,0,2,ABNORMAL: ,57.0,4.509742736816406,0.8274736842105264,0.13286034846947892
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,10.360249757766724,0.04933762550354004,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107.0,4.483798027038574,0.765578947368421,0.1918213359464932
TabPFN Classifier (v2.5 default),100,500,9500,4,0.13588380813598633,2.9033708572387695,1,1,0,0,,,0.12266912142509823,0.8221052631578948,0.12484026797780572
TabPFN Classifier (v2 compatibility),100,500,9500,4,0.1145012378692627,2.637162446975708,1,1,0,0,,,0.14534626196559094,0.8301052631578948,0.11833949661493323
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,5.8158721923828125,0.027379274368286133,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.480735778808594,0.8565263157894737,0.10746592867027248
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,5.898765563964844,0.04449295997619629,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.408336639404297,0.9005263157894737,0.06942320109088485
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,29.775680541992188,0.1401350498199463,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.450129508972168,0.8828421052631579,0.08619295275990706
TabPFN Classifier (v2.5 default),300,500,9500,4,0.18784117698669434,3.1556472778320312,1,1,0,0,,,0.08468616055102492,0.8881052631578947,0.07983269868281442
TabPFN Classifier (v2 compatibility),300,500,9500,4,0.1384882926940918,3.024271249771118,1,1,0,0,,,0.06636619883156315,0.8905263157894737,0.07837313846832893
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,9.440246820449829,0.049878835678100586,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.323424339294434,0.8751578947368421,0.094998458932689
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,10.722094297409058,0.06950521469116211,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.235645771026611,0.9106315789473685,0.06510266990014096
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,67.64495801925659,0.23331046104431152,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.29356575012207,0.8902105263157895,0.08136290369781338
TabPFN Classifier (v2.5 default),500,500,9500,4,1.2144343852996826,3.4446585178375244,1,1,0,0,,,0.05656672205273127,0.8962105263157895,0.07270436460722714
TabPFN Classifier (v2 compatibility),500,500,9500,4,0.12402629852294922,3.268462657928467,1,1,0,0,,,0.051345920238847,0.9004210526315789,0.07053238450758624
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,5,6.293686866760254,0.00603795051574707,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,112.0,4.636743068695068,0.7102105263157895,0.2452918304008183
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,5,4.1832873821258545,0.008939981460571289,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.823489189147949,0.7317894736842105,0.2168195657914375
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,5,6.186354875564575,0.025104284286499023,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.636695861816406,0.7109473684210527,0.245110271941835
